coopid,year,total_catch_lobsters,total_value_lobsters,total_hhat_lobster,total_xhat_lobster,ic_price_lobsters,m_lobster,change_m_lobster,change_xhat_lobster
37,2008,4550,1913280,5608,2324547,584,379308,19717,13701474
37,2009,3453,1138460,3861,1601051,417,194825,-184483,723495
37,2010,12827,2819235,15835,6131410,386,632460,437636,-4530359
37,2011,1823,638050,2337,1009102,433,130596,-501864,5122309
37,2012,1241,453480,1637,861033,442,97865,-32731,148069
37,2013,6911,2558630,11024,4865203,429,508476,410610,-4004171
37,2014,3639,1385930,7898,3087629,415,364924,-143552,1777575
39,2000,167104,9692032,174030,28276902,117,1685451,1320527,-25189274
39,2001,123432,5881816,136556,25954222,91,1054613,-630839,2322680
39,2002,131536,5985641,203687,31664620,81,1347608,292996,-5710398
39,2003,145576,6627680,83929,9471740,77,570965,-776643,22192880
39,2004,115344,6757418,80757,8706694,90,644066,73101,765046
39,2005,132910,7552354,86590,8361027,94,716696,72630,345668
39,2006,126179,9192288,135412,3638666,114,1301094,584398,4722361
39,2007,117481,10123825,118392,3318638,123,1251507,-49588,320028
39,2008,156096,14009175,78209,1057320,124,862671,-388836,2261318
39,2009,136477,12061800,80977,1149069,114,813740,-48931,-91748
39,2010,158932,14246240,112449,1631137,114,1099267,285528,-482068
39,2011,159260,14204760,81562,1228897,109,785464,-313804,402240
39,2012,148495,13158350,60032,885593,103,564060,-221404,343304
39,2013,132921,11807290,107228,1537477,100,929083,365024,-651884
39,2014,107249,9526690,96875,1563392,96,812076,-117007,-25915
39,2015,94192,8347280,74874,1162015,93,620098,-191977,401376
39,2016,106597,9452730,70119,1051714,91,568727,-51371,110301
